Language,Korean,English,ChineseSimplified,ChineseTraditional
buff_idx_1001821_desc_key,! 해적왕 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 해적왕 의상 장착! -,! Pirate King Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing pro pirate king outfit!,！海盗王协同效应指南！\n穿着戏水服装时。将最终伤害提高50％\n-触发条件。装备了海盗王装！--,！海盜王協同效應指南！\n穿著戲水服裝時。將最終傷害提高50％\n-觸發條件。裝備了海盜王裝！--
buff_idx_1001921_desc_key,! 건설자 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 건설자 의상 장착! -,! Builder Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing builder outfit!,！建筑师的协同效果指南！\n穿着土系服装时.最终伤害提高50％\n-触发条件：配备施工服装！--,！建築師的協同效果指南！\n穿著土系服裝時.最終傷害提高50％\n-觸發條件：配備施工服裝！--
buff_idx_1002021_desc_key,! 건설자 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 건설자 의상 장착! -,! Builder Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing builder outfit!,！建筑师的协同指南！\n装备水系服装时。将最终伤害提高50％\n-触发条件：装备施工服装！--,！建築師的協同指南！\n裝備水系服裝時。將最終傷害提高50％\n-觸發條件：裝備施工服裝！--
buff_idx_1002121_desc_key,! 경찰관 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 경찰관 의상 장착! -,! Police Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing police outfit!,！警察协同效果通知！\n穿着火系服装时.最终伤害提高50％\n-触发条件：配备警察服装！--,！員警協同效果通知！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：配備員警服裝！--
buff_idx_1002221_desc_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1002321_desc_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1002421_desc_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1002521_desc_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1002621_desc_key,! 서부시대 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 서부시대 의상 장착! -,! Western-era Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing western-era outfit!,！西方时代协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：装备西方服装！--,！西方時代協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：裝備西方服裝！--
buff_idx_1002721_desc_key,! 서부시대 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 서부시대 의상 장착! -,! Western-era Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing western-era outfit!,！西方时代协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：装备西方服装！--,！西方時代協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：裝備西方服裝！--
buff_idx_1002821_desc_key,! 소방관 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 소방관 의상 장착! -,! Firefighter Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing firefighter outfit!,！消防员协同效果指南！\n装备火系服装时.将最终伤害提高50％\n-触发条件：装备消防员服装！--,！消防員協同效果指南！\n裝備火系服裝時.將最終傷害提高50％\n-觸發條件：裝備消防員服裝！--
buff_idx_1002921_desc_key,! 스페이스 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 스페이스 의상 장착! -,! Space Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing space outfit!,！太空的协同效果指南！\n装备水系服装时.最终伤害提高50％\n-触发条件：配备太空服！--,！太空的協同效果指南！\n裝備水系服裝時.最終傷害提高50％\n-觸發條件：配備太空服！--
buff_idx_1003021_desc_key,! 스페이스 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 스페이스 의상 장착! -,! Space Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing space outfit!,！太空的协同效果指南！\n装备水系服装时.最终伤害提高50％\n-触发条件：配备太空服！--,！太空的協同效果指南！\n裝備水系服裝時.最終傷害提高50％\n-觸發條件：配備太空服！--
buff_idx_1003121_desc_key,! 우주 전사 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 우주 전사 의상 장착! -,! Space Warrior Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing space warrior outfit!,！宇宙勇士协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：装备太空战士服装！--,！宇宙勇士協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：裝備太空戰士服裝！--
buff_idx_1003221_desc_key,! 우주 전사 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 우주 전사 의상 장착! -,! Space Warrior Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing space warrior outfit!,！宇宙勇士协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：装备太空战士服装！--,！宇宙勇士協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：裝備太空戰士服裝！--
buff_idx_1003321_desc_key,! 판타지 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备幻想的服装！--,！幻想協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想的服裝！--
buff_idx_1003421_desc_key,! 판타지 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备幻想的服装！--,！幻想協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想的服裝！--
buff_idx_1003521_desc_key,! 판타지 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备幻想的服装！--,！幻想協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想的服裝！--
buff_idx_1003621_desc_key,! 판타지 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备幻想的服装！--,！幻想協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想的服裝！--
buff_idx_1003721_desc_key,! 판타지 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想的协同效果指南！\n装备火系服装时.最终伤害提高50％\n-触发条件：装备幻想服装！--,！幻想的協同效果指南！\n裝備火系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想服裝！--
buff_idx_1003821_desc_key,! 해적왕 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 해적왕 의상 장착! -,! Pirate King Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing pro pirate king outfit!,！海盗王协同效应指南！\n穿着戏水服装时。将最终伤害提高50％\n-触发条件。装备了海盗王装！--,！海盜王協同效應指南！\n穿著戲水服裝時。將最終傷害提高50％\n-觸發條件。裝備了海盜王裝！--
buff_idx_1003921_desc_key,! 해적왕 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 해적왕 의상 장착! -,! Pirate King Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing pro pirate king outfit!,！海盗王协同效应指南！\n穿着戏水服装时。将最终伤害提高50％\n-触发条件。装备了海盗王装！--,！海盜王協同效應指南！\n穿著戲水服裝時。將最終傷害提高50％\n-觸發條件。裝備了海盜王裝！--
buff_idx_1004021_desc_key,! 해적왕 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 해적왕 의상 장착! -,! Pirate King Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing pro pirate king outfit!,！海盗王协同指南！\n装备火系服装时.最终伤害提高50％\n-触发条件：装备海盗王装！--,！海盜王協同指南！\n裝備火系服裝時.最終傷害提高50％\n-觸發條件：裝備海盜王裝！--
buff_idx_1004121_desc_key,! 건설자 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 건설자 의상 장착! -,! Builder Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing builder outfit!,！建筑师的协同效果指南！\n穿着土系服装时.最终伤害提高50％\n-触发条件：配备施工服装！--,！建築師的協同效果指南！\n穿著土系服裝時.最終傷害提高50％\n-觸發條件：配備施工服裝！--
buff_idx_1004221_desc_key,! 건설자 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 건설자 의상 장착! -,! Builder Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing builder outfit!,！建筑师的协同效果指南！\n配备风系服装时.将最终伤害提高50％\n-触发条件:装备施工服装！--,！建築師的協同效果指南！\n配備風系服裝時.將最終傷害提高50％\n-觸發條件:裝備施工服裝！--
buff_idx_1004321_desc_key,! 경찰관 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 경찰관 의상 장착! -,! Police Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing police outfit!,！警察协同效果信息！\n穿着土系服装时。最终伤害提高50％\n-触发条件：装备警察服装！--,！員警協同效果資訊！\n穿著土系服裝時。最終傷害提高50％\n-觸發條件：裝備員警服裝！--
buff_idx_1004421_desc_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1004521_desc_key,! 레스토랑 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 레스토랑 의상 장착! -,! Restaurant Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing restaurant outfit!,！餐厅协同效果信息！\n穿着火系服装时.最终伤害提高50％\n-触发条件：装备餐厅服饰！--,！餐廳協同效果資訊！\n穿著火系服裝時.最終傷害提高50％\n-觸發條件：裝備餐廳服飾！--
buff_idx_1004621_desc_key,! 서부시대 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 서부시대 의상 장착! -,! Western-era Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing western-era outfit!,！西方时代协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：装备西方服装！--,！西方時代協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：裝備西方服裝！--
buff_idx_1004721_desc_key,! 서부시대 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 서부시대 의상 장착! -,! Western-era Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing western-era outfit!,！西方时代协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：装备西方服装！--,！西方時代協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：裝備西方服裝！--
buff_idx_1004821_desc_key,! 소방관 시너지 안내 !\n불 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 소방관 의상 장착! -,! Firefighter Synergy Guide !\n When using fire costume. Increases final damage by 50%\n- Triggering condition. Wearing firefighter outfit!,！消防员协同效果指南！\n装备火系服装时.将最终伤害提高50％\n-触发条件：装备消防员服装！--,！消防員協同效果指南！\n裝備火系服裝時.將最終傷害提高50％\n-觸發條件：裝備消防員服裝！--
buff_idx_1004921_desc_key,! 우주 전사 시너지 안내 !\n바람 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 우주 전사 의상 장착! -,! Space Warrior Synergy Guide !\n When using wind costume. Increases final damage by 50%\n- Triggering condition. Wearing space warrior outfit!,！宇宙勇士协同效果指南！\n装备风系服装时.最终伤害提高50％\n-触发条件：装备太空战士服装！--,！宇宙勇士協同效果指南！\n裝備風系服裝時.最終傷害提高50％\n-觸發條件：裝備太空戰士服裝！--
buff_idx_1005021_desc_key,! 판타지 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备幻想的服装！--,！幻想協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想的服裝！--
buff_idx_1005121_desc_key,! 판타지 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备幻想的服装！--,！幻想協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想的服裝！--
buff_idx_1005221_desc_key,! 판타지 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备幻想的服装！--,！幻想協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想的服裝！--
buff_idx_1005321_desc_key,! 판타지 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 판타지 의상 장착! -,! Fantasy Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing fantasy outfit!,！幻想协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备幻想的服装！--,！幻想協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備幻想的服裝！--
buff_idx_1005421_desc_key,! 프로레슬러 시너지 안내 !\n땅 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 프로레슬러 의상 장착! -,! Pro Wrestler Synergy Guide !\n When using land costume. Increases final damage by 50%\n- Triggering condition. Wearing pro wrestler outfit!,！职业摔跤手的协同效果指南！\n装备土系服装时.最终伤害提高50％\n-触发条件：装备专业摔跤服！--,！職業摔跤手的協同效果指南！\n裝備土系服裝時.最終傷害提高50％\n-觸發條件：裝備專業摔跤服！--
buff_idx_1005521_desc_key,! 해적왕 시너지 안내 !\n물 의상 장착 시. 최종 데미지 50% 증가\n- 발동 조건. 해적왕 의상 장착! -,! Pirate King Synergy Guide !\n When using water costume. Increases final damage by 50%\n- Triggering condition. Wearing pro pirate king outfit!,！海盗王协同效应指南！\n穿着戏水服装时。将最终伤害提高50％\n-触发条件。装备了海盗王装！--,！海盜王協同效應指南！\n穿著戲水服裝時。將最終傷害提高50％\n-觸發條件。裝備了海盜王裝！--
projectile_idx_10000_name_key,도끼,ax,斧头,斧頭
projectile_idx_10001_name_key,빠루,claw hammer,法鲁,法魯
projectile_idx_10002_name_key,폭탄,bomb,炸弹,炸彈
projectile_idx_10003_name_key,TNT,TNT,TNT,TNT
projectile_idx_10004_name_key,총알,bullet,子弹,子彈
projectile_idx_10005_name_key,토마토,Tomato,番茄,番茄
projectile_idx_10006_name_key,포크,fork,叉子,叉子
projectile_idx_10007_name_key,피자,pizza,比萨,比薩
projectile_idx_10008_name_key,돌맹이,Stone,结石,結石
projectile_idx_10009_name_key,삼지창,Trident,三叉戟,三叉戟
projectile_idx_10010_name_key,야구공,baseball,棒球,棒球
projectile_idx_10011_name_key,축구공,football,足球,足球
projectile_idx_10012_name_key,검은 소형 봄,Black miniature spring,黑色微型弹簧,黑色微型彈簧
projectile_idx_10013_name_key,화살,arrow,弓箭,弓箭
projectile_idx_10014_name_key,파란 소형 볼,Blue miniature ball,蓝色微型球,藍色微型球
projectile_idx_10015_name_key,하트,Heart,心,心
projectile_idx_10016_name_key,럭비공,rugby ball,橄榄球,橄欖球
projectile_idx_10017_name_key,농구공,Basketball,篮球,籃球
projectile_idx_10018_name_key,뼈,bone,骨,骨
projectile_idx_10019_name_key,장도리,Claw hammer,羊角锤,羊角錘
projectile_idx_10020_name_key,스패너,spanner,扳手,扳手
projectile_idx_10021_name_key,수류탄,hand grenade,手榴弹,手榴彈
projectile_idx_10022_name_key,도넛,donut,甜甜圈,甜甜圈
projectile_idx_10023_name_key,콜라,cola,可乐,可樂
projectile_idx_10024_name_key,폭죽,Firecracker,鞭炮,鞭炮
projectile_idx_10025_name_key,로스트 치킨,Roast chicken,烤鸡,烤雞
projectile_idx_10026_name_key,곡괭이,pickax,挑,挑
projectile_idx_10027_name_key,장총,Long gun,长枪,長槍
projectile_idx_10028_name_key,빨간 도끼,Red Rabbit,红色兔子,紅色兔子
projectile_idx_10029_name_key,파란빔,Blue Beam,蓝光束,藍光束
projectile_idx_10030_name_key,삐슝빠슝,Beep beep,噗噗,噗噗
projectile_idx_10031_name_key,방패,Shield,盾牌,盾牌
projectile_idx_10032_name_key,미사일,Missile,导弹,導彈
projectile_idx_10033_name_key,청룡도,Blue Dragon Island,青龙刀,青龍刀
projectile_idx_10034_name_key,검,sword,剑,劍
projectile_idx_10035_name_key,수리검,shuriken,手里剑,手裏劍
projectile_idx_10036_name_key,얼음 결정,Ice Crystal,冰晶,冰晶
projectile_idx_10037_name_key,불덩이,Fireball,火球,火球
projectile_idx_10038_name_key,맥주 비어,Beer,啤酒啤酒,啤酒啤酒
projectile_idx_10039_name_key,황동 닻,Brass Anchor,黄铜锚,黃銅錨
projectile_idx_10040_name_key,불화살,Fire arrows,火箭,火箭
projectile_idx_10041_name_key,드릴,Drill,钻头,鑽頭
projectile_idx_10042_name_key,망치,hammer,锤子,錘子
projectile_idx_10043_name_key,권총,Pistol,手枪,手槍
projectile_idx_10044_name_key,당근,carrot,胡萝卜,胡蘿蔔
projectile_idx_10045_name_key,후라이팬,frying pan,平底锅,平底鍋
projectile_idx_10046_name_key,보안관 뱃지,Sheriff Badge,警长徽章,警長徽章
projectile_idx_10047_name_key,선인장,Cactus,仙人掌,仙人掌
projectile_idx_10048_name_key,소방용 도끼,Fire Axe,消防斧,消防斧
projectile_idx_10049_name_key,래빗건,Rabbit Gun,兔子枪,兔子槍
projectile_idx_10050_name_key,표창,dagger,飞镖,飛鏢
projectile_idx_10051_name_key,토르 망치,thor hammer,雷神之锤,雷神之錘
projectile_idx_10052_name_key,번개,Lightning,闪电,閃電
projectile_idx_10053_name_key,슬레이어,Slayer,杀手,殺手
projectile_idx_10054_name_key,접이식 의자,Foldable Chair,折叠椅,折疊椅
projectile_idx_10055_name_key,파란 창,Blue Spear,蓝窗,藍窗
projectile_idx_10000_desc_key,임시_도끼,-,-,-
projectile_idx_10001_desc_key,임시_빠루,-,-,-
projectile_idx_10002_desc_key,임시_폭탄,-,-,-
projectile_idx_10003_desc_key,임시_TNT,-,-,-
projectile_idx_10004_desc_key,임시_총알,-,-,-
projectile_idx_10005_desc_key,임시_토마토,-,-,-
projectile_idx_10006_desc_key,임시_포크,-,-,-
projectile_idx_10007_desc_key,임시_피자,-,-,-
projectile_idx_10008_desc_key,임시_돌맹이,-,-,-
projectile_idx_10009_desc_key,임시_삼지창,-,-,-
projectile_idx_10010_desc_key,임시_야구공,-,-,-
projectile_idx_10011_desc_key,임시_축구공,-,-,-
projectile_idx_10012_desc_key,임시_검은 소형 봄,-,-,-
projectile_idx_10013_desc_key,임시_화살,-,-,-
projectile_idx_10014_desc_key,임시_파란 소형 볼,-,-,-
projectile_idx_10015_desc_key,임시_하트,-,-,-
projectile_idx_10016_desc_key,임시_럭비공,-,-,-
projectile_idx_10017_desc_key,임시_농구공,-,-,-
projectile_idx_10018_desc_key,임시_뼈,-,-,-
projectile_idx_10019_desc_key,임시_장도리,-,-,-
projectile_idx_10020_desc_key,임시_스패너,-,-,-
projectile_idx_10021_desc_key,임시_수류탄,-,-,-
projectile_idx_10022_desc_key,임시_도넛,-,-,-
projectile_idx_10023_desc_key,임시_콜라,-,-,-
projectile_idx_10024_desc_key,임시_폭죽,-,-,-
projectile_idx_10025_desc_key,임시_로스트 치킨,-,-,-
projectile_idx_10026_desc_key,임시_곡괭이,-,-,-
projectile_idx_10027_desc_key,임시_장총,-,-,-
projectile_idx_10028_desc_key,임시_빨간 도끼,-,-,-
projectile_idx_10029_desc_key,임시_파란빔,-,-,-
projectile_idx_10030_desc_key,임시_삐슝빠슝,-,-,-
projectile_idx_10031_desc_key,임시_방패,-,-,-
projectile_idx_10032_desc_key,임시_미사일,-,-,-
projectile_idx_10033_desc_key,임시_청룡도,-,-,-
projectile_idx_10034_desc_key,임시_검,-,-,-
projectile_idx_10035_desc_key,임시_수리검,-,-,-
projectile_idx_10036_desc_key,임시_얼음 결정,-,-,-
projectile_idx_10037_desc_key,임시_불덩이,-,-,-
projectile_idx_10038_desc_key,임시_맥주 비어,-,-,-
projectile_idx_10039_desc_key,임시_황동 닻,-,-,-
projectile_idx_10040_desc_key,임시_불화살,-,-,-
projectile_idx_10041_desc_key,임시_드릴,-,-,-
projectile_idx_10042_desc_key,임시_망치,-,-,-
projectile_idx_10043_desc_key,임시_권총,-,-,-
projectile_idx_10044_desc_key,임시_당근,-,-,-
projectile_idx_10045_desc_key,임시_후라이팬,-,-,-
projectile_idx_10046_desc_key,임시_보안관 뱃지,-,-,-
projectile_idx_10047_desc_key,임시_선인장,-,-,-
projectile_idx_10048_desc_key,임시_소방용 도끼,-,-,-
projectile_idx_10049_desc_key,임시_래빗건,-,-,-
projectile_idx_10050_desc_key,임시_표창,-,-,-
projectile_idx_10051_desc_key,임시_토르 망치,-,-,-
projectile_idx_10052_desc_key,임시_번개,-,-,-
projectile_idx_10053_desc_key,임시_슬레이어,-,-,-
projectile_idx_10054_desc_key,임시_접이식 의자,-,-,-
projectile_idx_10055_desc_key,임시_파란 창,-,-,-
pak_name_1,STAGE,STAGE,关卡,關卡
pak_name_2,STAGE,STAGE,关卡,關卡
pak_name_3,STAGE,STAGE,关卡,關卡
pak_name_4,STAGE,STAGE,关卡,關卡
pak_name_5,STAGE,STAGE,关卡,關卡
Korean,한국어,한국어,한국어,한국어
English,English,English,English,English
ChineseSimplified,简体中文,简体中文,简体中文,简体中文
ChineseTraditional,繁体中文,繁体中文,繁体中文,繁体中文
mercenary_idx_10_desc_key,첫 동료군요? 앞으로 많이 도와줄 친구입니다.\n가장 좋아하는 음식은 오렌지와 딸기입니다.\n- 원거리 공격을 잘 사용합니다 -,He's your first fellow worker. isn't he? He will hepl you a lot in future.\n His favorite foods are oranges and strawberries.\n- Good at long range attacks -,是第一个小伙伴吧?以后他会多多帮助你的。\n他最喜欢的食物是橘子和草莓\n- 擅长远距离攻击 -,是第一個小夥伴吧?以後他會多多幫助你的。\n他最喜歡的食物是橘子和草莓\n- 擅長遠距離攻擊 -
mercenary_idx_11_desc_key,힘이라면 누구에게도 지지 않습니다.\n좋아하는 영화 장르는 로맨스와 멜로입니다.\n- 근접 공격의 달인입니다 -,He will never lose to anyone when it comes to strength.\n His favorite movie genres are romance and melodrama.\n - Master of close range attacks -,力气方面可不会输给任何人.\n最喜欢的电影类型是喜剧和爱情。\n- 近距离攻击小达人 -,力氣方面可不會輸給任何人.\n最喜歡的電影類型是喜劇和愛情。\n- 近距離攻擊小達人 -
mercenary_idx_12_desc_key,생각보다 이해타산이 빠른 친구입니다.\n가장 행복한 순간은 보너스를 받을 때 입니다.\n- 기계 공격을 주로 사용합니다 -,He's more calculative than you think.\n His happiest moment is when he gets a bonus.\n- Mainly uses machine attacks -,他是个爱算计的家伙.\n最幸福的瞬间就是获得奖金的时候。\n- 主要使用机械攻击 -,他是個愛算計的傢伙.\n最幸福的瞬間就是獲得獎金的時候。\n- 主要使用機械攻擊 -
mercenary_idx_13_desc_key,오랜 노력 끝에 마법을 쓰게된 친구입니다.\n최근 리듬게임과 애니메이션에 즐기고 있습니다.\n- 마법 공격의 장인입니다 -,He is a friend who managed to use magic after long efforts.\n He's been enjoying rhythm games and animations lately.\n - Master of magic attacks -,这位朋友在漫长的努力下终于学会使用魔法。.\n最近迷上了节奏音游和动漫.\n- 擅长魔法攻击 -,這位朋友在漫長的努力下終於學會使用魔法。.\n最近迷上了節奏音遊和動漫.\n- 擅長魔法攻擊 -
Confirm,확인!,Confirm,确认,確認
evolution,Evolution,Evolution,进化,進化
